trade_date,stock_count
20000104,913
20000105,917
20000106,920
20000107,923
20000110,917
20000111,917
20000112,921
20000113,923
20000114,925
20000117,920
20000118,917
20000119,921
20000120,922
20000121,927
20000124,922
20000125,923
20000126,921
20000127,926
20000128,925
20000214,920
20000215,921
20000216,925
20000217,925
20000218,921
20000221,923
20000222,924
20000223,928
20000224,926
20000225,928
20000228,915
20000229,920
20000301,924
20000302,928
20000303,934
20000306,928
20000307,931
20000308,930
20000309,931
20000310,933
20000313,930
20000314,931
20000315,932
20000316,924
20000317,932
20000320,924
20000321,929
20000322,933
20000323,932
20000324,931
20000327,926
20000328,926
20000329,933
20000330,928
20000331,934
20000403,926
20000404,935
20000405,931
20000406,930
20000407,937
20000410,915
20000411,929
20000412,927
20000413,938
20000414,939
20000417,923
20000418,914
20000419,938
20000420,926
20000421,932
20000424,925
20000425,918
20000426,925
20000427,932
20000428,903
20000508,877
20000509,914
20000510,905
20000511,931
20000512,907
20000515,919
20000516,914
20000517,933
20000518,897
20000519,929
20000522,920
20000523,927
20000524,935
20000525,928
20000526,911
20000529,919
20000530,917
20000531,937
20000601,943
20000602,951
20000605,950
20000606,947
20000607,948
20000608,949
20000609,955
20000612,948
20000613,949
20000614,951
20000615,947
20000616,952
20000619,948
20000620,940
20000621,952
20000622,955
20000623,959
20000626,933
20000627,947
20000628,915
20000629,948
20000630,920
20000703,961
20000704,963
20000705,965
20000706,968
20000707,973
20000710,967
20000711,968
20000712,971
20000713,972
20000714,977
20000717,967
20000718,970
20000719,973
20000720,977
20000721,984
20000724,974
20000725,980
20000726,984
20000727,983
20000728,987
20000731,983
20000801,986
20000802,986
20000803,990
20000804,996
20000807,989
20000808,990
20000809,993
20000810,994
20000811,1000
20000814,990
20000815,990
20000816,993
20000817,991
20000818,999
20000821,988
20000822,991
20000823,990
20000824,992
20000825,995
20000828,977
20000829,991
20000830,991
20000831,990
20000901,993
20000904,987
20000905,987
20000906,989
20000907,995
20000908,997
20000911,981
20000912,984
20000913,994
20000914,996
20000915,993
20000918,979
20000919,987
20000920,992
20000921,995
20000922,1005
20000925,992
20000926,997
20000927,1003
20000928,1004
20000929,1009
20001009,994
20001010,993
20001011,1008
20001012,1005
20001013,1011
20001016,995
20001017,1004
20001018,1006
20001019,1008
20001020,1014
20001023,1004
20001024,1009
20001025,1009
